UserID,Date,Steps,CaloriesBurned,DistanceKm,SleepHours,HeartRate,FoodItem,CaloriesIntake,Protein_g,Fat_g,Carbs_g,WaterIntake_L,Mood,Recommendation
1102,2023-04-05,8088,2641,5.58,9.0,76,Egg Wrap,1325,31.3,61.2,314.9,0.5,Tired,Drink more water to stay hydrated.
1435,2023-12-13,8436,1761,6.61,6.0,60,Chicken Salad,1647,42.4,66.3,293.0,1.8,Stressed,Drink more water to stay hydrated.
1860,2023-02-13,8005,2352,7.13,4.7,64,Pasta,1838,39.1,82.3,108.3,3.4,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1270,2023-08-16,5791,3121,3.79,8.3,114,Fruit Smoothie,1678,114.5,47.7,182.9,4.0,Stressed,Take a break and do something relaxing.
1106,2023-03-03,2657,1657,2.16,6.2,69,Fruit Smoothie,2161,41.4,82.7,176.7,1.7,Sad,Try taking a short walk to stay active.
1071,2023-11-13,3743,1212,3.0,4.7,83,Fried Rice,2697,58.0,20.0,125.3,3.2,Relaxed,Try taking a short walk to stay active.
1700,2023-08-07,6386,3653,5.28,7.3,103,Paneer Curry,2329,131.9,88.9,276.2,3.1,Sad,Take a break and do something relaxing.
1020,2023-12-01,16046,1846,12.21,7.0,103,Paneer Curry,2158,71.4,55.9,204.5,2.9,Stressed,Take a break and do something relaxing.
1614,2023-03-30,4990,2895,4.15,4.7,86,Chicken Salad,2897,67.2,23.7,158.9,0.9,Relaxed,Try taking a short walk to stay active.
1121,2023-04-22,13972,1905,8.41,4.6,72,Veg Sandwich,1919,75.0,33.4,283.2,1.0,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1466,2023-07-26,19206,3034,14.86,8.7,65,Egg Wrap,2720,50.8,44.9,145.9,3.9,Energetic,Great job! Keep maintaining your healthy routine.
1214,2023-11-02,11414,1438,7.3,7.3,104,Fried Rice,1624,109.8,34.1,239.9,1.9,Relaxed,Drink more water to stay hydrated.
1330,2023-07-22,13788,3412,10.83,8.6,83,Veg Sandwich,2301,69.8,53.4,232.5,2.2,Stressed,Take a break and do something relaxing.
1458,2023-10-24,18729,3040,15.45,5.5,80,Dal & Rice,1352,39.6,35.1,242.2,1.4,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1087,2023-02-02,1875,3550,1.37,7.0,81,Egg Wrap,1848,95.7,77.2,168.4,2.3,Happy,Try taking a short walk to stay active.
1372,2023-08-03,3415,3624,2.74,5.5,93,Egg Wrap,2066,73.5,21.2,205.9,1.9,Stressed,Try taking a short walk to stay active.
1099,2023-01-12,16326,3452,14.53,8.8,100,Fried Rice,1202,136.8,24.7,298.9,1.3,Sad,Drink more water to stay hydrated.
1871,2023-01-02,16932,2927,15.0,5.4,63,Veg Sandwich,2029,62.5,38.1,202.3,1.5,Relaxed,You’re low on rest. Aim for at least 7 hours tonight.
1663,2023-12-29,9967,2637,6.87,6.4,108,Fruit Smoothie,2496,33.0,32.9,287.2,1.0,Stressed,Drink more water to stay hydrated.
1130,2023-05-29,5504,2075,3.64,7.5,61,Chicken Salad,1841,126.2,25.0,360.6,3.0,Happy,Great job! Keep maintaining your healthy routine.
1661,2023-05-22,14981,1253,11.89,4.8,61,Fried Rice,1471,133.2,59.6,124.7,3.3,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1308,2023-10-17,1407,3533,1.05,7.1,117,Egg Wrap,2305,36.2,57.6,267.0,3.8,Tired,Try taking a short walk to stay active.
1769,2023-07-26,7909,1500,4.97,6.1,106,Dal & Rice,2178,73.7,28.5,352.2,0.6,Relaxed,Drink more water to stay hydrated.
1343,2023-12-07,17691,1679,11.17,8.0,57,Pasta,1522,79.4,73.0,111.9,3.7,Sad,Take a break and do something relaxing.
1491,2023-07-11,11300,3659,7.8,7.0,69,Pasta,2448,67.9,84.4,155.0,1.6,Tired,Drink more water to stay hydrated.
1413,2023-12-07,9268,3150,8.34,4.5,83,Paneer Curry,2400,96.3,59.8,391.9,1.1,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1805,2023-11-02,13217,2954,9.27,4.8,85,Grilled Fish,1915,50.6,39.8,361.9,3.3,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1385,2023-09-09,5046,3772,3.16,5.3,106,Oatmeal,2255,114.9,66.2,130.3,3.0,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1191,2023-07-23,17748,2442,12.52,5.7,56,Pasta,2376,135.0,60.2,171.6,0.7,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1955,2023-12-28,13936,3270,9.26,6.2,86,Dal & Rice,1231,40.1,58.9,155.7,2.9,Sad,Take a break and do something relaxing.
1276,2023-02-15,19343,2995,13.67,7.3,104,Grilled Fish,2117,32.6,43.0,103.7,2.8,Tired,Take a break and do something relaxing.
1160,2023-09-18,5135,1527,3.87,5.8,115,Egg Wrap,1252,92.2,68.5,112.7,3.7,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1459,2023-03-07,15978,1640,14.06,6.3,78,Grilled Fish,1589,50.3,78.1,127.1,2.6,Energetic,Great job! Keep maintaining your healthy routine.
1313,2023-05-30,15919,3202,9.69,8.5,76,Fruit Smoothie,2550,105.8,76.9,395.5,2.1,Sad,Take a break and do something relaxing.
1021,2023-03-11,13613,3009,11.23,5.0,92,Grilled Fish,2400,109.2,49.1,179.9,1.6,Tired,You’re low on rest. Aim for at least 7 hours tonight.
1252,2023-12-30,9916,2086,6.0,6.4,114,Dal & Rice,1687,135.7,29.9,105.1,0.6,Sad,Drink more water to stay hydrated.
1747,2023-01-02,19390,3666,12.24,5.6,61,Veg Sandwich,1303,118.6,22.3,112.2,0.9,Sad,You’re low on rest. Aim for at least 7 hours tonight.
1856,2023-01-29,9280,2810,6.72,8.0,60,Dal & Rice,2773,53.9,74.7,281.8,2.0,Relaxed,Great job! Keep maintaining your healthy routine.
1560,2023-09-13,2606,2132,2.23,4.1,63,Pasta,1499,50.1,87.7,141.0,3.4,Tired,Try taking a short walk to stay active.
1474,2023-03-02,18576,1403,14.31,4.8,66,Paneer Curry,1704,37.8,81.1,172.2,2.3,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1058,2023-04-10,14113,2495,11.19,5.5,89,Fried Rice,2010,44.2,48.2,384.9,2.2,Sad,You’re low on rest. Aim for at least 7 hours tonight.
1510,2023-05-24,17336,3003,10.65,8.4,77,Chicken Salad,1660,58.4,62.3,296.6,0.6,Happy,Drink more water to stay hydrated.
1681,2023-07-11,5530,3564,4.7,7.5,114,Fried Rice,2592,30.3,88.8,157.9,3.4,Sad,Take a break and do something relaxing.
1475,2023-12-19,8877,2538,6.2,6.1,79,Fruit Smoothie,1422,91.9,36.5,222.8,1.7,Relaxed,Drink more water to stay hydrated.
1699,2023-12-19,3655,1271,2.38,8.6,67,Chicken Salad,2973,67.0,26.2,187.9,3.2,Energetic,Try taking a short walk to stay active.
1975,2023-09-27,1318,3312,0.81,6.3,68,Veg Sandwich,1995,43.0,26.6,385.0,1.0,Sad,Try taking a short walk to stay active.
1782,2023-10-26,15354,3573,13.19,4.7,109,Pasta,2242,67.3,79.7,116.3,3.5,Energetic,You’re low on rest. Aim for at least 7 hours tonight.
1189,2023-11-22,16002,3318,11.58,7.5,115,Fruit Smoothie,1659,49.1,42.5,398.2,3.2,Stressed,Take a break and do something relaxing.
1957,2023-11-07,4165,1242,3.45,8.6,60,Grilled Fish,2619,66.7,69.2,281.8,2.7,Tired,Try taking a short walk to stay active.
1686,2023-07-23,8537,3568,6.5,4.5,97,Egg Wrap,2177,42.0,73.3,152.2,1.9,Happy,You’re low on rest. Aim for at least 7 hours tonight.
1957,2023-09-02,6172,3286,4.77,5.6,93,Chicken Salad,2911,55.5,38.8,150.0,3.8,Stressed,You’re low on rest. Aim for at least 7 hours tonight.
1562,2023-01-31,12236,3025,10.87,7.5,89,Paneer Curry,2698,71.8,54.4,200.8,2.7,Tired,Take a break and do something relaxing.
1875,2023-11-28,2546,3795,2.04,5.0,70,Grilled Fish,1224,138.5,77.1,346.3,0.9,Happy,Try taking a short walk to stay active.
1566,2023-02-21,13392,1361,10.41,5.7,100,Pasta,2417,45.1,83.0,297.2,2.9,Happy,You’re low on rest. Aim for at least 7 hours tonight.
1243,2023-08-31,5828,1643,4.47,7.3,55,Pasta,2785,129.5,29.3,129.3,3.8,Tired,Take a break and do something relaxing.
1831,2023-09-20,1987,2759,1.51,4.2,59,Paneer Curry,2989,50.3,26.0,168.9,3.1,Relaxed,Try taking a short walk to stay active.
